id,first_name,last_name,email
1,Sherlock Holmes and the Secret Weapon,Crime|Mystery|Thriller,09/29/2004
2,Lady and the Tramp,Animation|Children|Comedy|Romance,09/05/1970
3,Collision: Christopher Hitchens vs. Douglas Wilson,Documentary,12/04/1987
4,Cooking Up Dreams (De ollas y sueños),Documentary,12/14/2013
5,Merry Madagascar,Animation,04/13/1953
6,Sleeper,Comedy|Sci-Fi,07/02/2022
7,Article 99,Comedy|Drama,05/21/1974
8,Battle in Outer Space,Adventure|Sci-Fi,10/06/1990
9,The Pirates of Blood River,Action|Adventure|Comedy,05/11/2009
10,Fun Size,Comedy,06/30/1966
11,Lenny,Drama,11/19/2011
12,Sonny,Crime|Drama,06/12/1956
13,The Loft,Thriller,06/11/2001
14,Sunshine,Adventure|Drama|Sci-Fi|Thriller,11/16/1978
15,One Crazy Summer,Comedy,07/15/2000
16,Prophet's Prey,Crime|Documentary,11/05/1973
17,Confidentially Yours (Vivement dimanche!),Comedy|Crime|Mystery|Thriller,03/24/1958
18,"Librarian: Quest for the Spear, The",Action|Adventure|Comedy|Fantasy|Romance,12/22/1999
19,The Power and the Glory,Drama,03/30/1950
20,Lupin the 3rd,Action|Adventure|Comedy,10/08/1966
21,Dream (Bi-mong),Drama|Fantasy|Mystery|Romance,07/04/1986
22,Neds,Drama,02/17/2020
23,"Bodyguard, The",Drama|Romance|Thriller,11/28/2021
24,Austin High,Comedy,05/07/2010
25,Vision (Vision - Aus dem Leben der Hildegard von Bingen),Drama,10/12/2013
26,Reconstruction (Anaparastasi),Crime|Drama,03/19/2022
27,Fever Pitch,Comedy|Romance,09/10/1973
28,Holocaust,Drama|Romance|War,09/06/1958
29,Black Moon,Horror,05/14/1964
30,"Witches of Eastwick, The",Comedy|Fantasy|Horror|Thriller,04/19/1965
